question,answer,wrong_answer
" Yes, I surely do. I think it’s interesting the President just said something, which is that on the day after the attack he went in the Rose Garden and said that this was an attack of terror. ",That’s what I said. Property of 0 Governor,"Yep, that's what was said, and it needed to be said. Because when you're hit like that, you don't beat around the bush. You gotta be clear, strong, and united. You call it terror, because that's exactly what it was. And that sends a message, not just to our people, but to anyone out there who thinks they can mess with America. Straightforward. Decisive. That's what the job calls for."
 You said in the Rose Garden the day after the attack it was an act of terror? It was not a spontaneous demonstration? ,Please proceed. Governor,"Absolutely. Let me be clear. When I stood in the Rose Garden that day, there was no ambiguity in my words, because there was no ambiguity in the event itself. We called it what it was: an act of terror.

That was not some spontaneous demonstration. A spontaneous demonstration is people exercising their rights, coming together. What we saw was a deliberate, malevolent act, designed to instill fear and cause harm. We understood the intent behind it then, and we had to speak that truth directly to the American people and to the world. We don't mince words when the nation is under attack."
 Is that what you’re saying? ,"Please proceed, Governor. Governor","Well, now, let me just reiterate for a moment what I've been saying, because it's vital we're all on the same page.

What I'm talking about here is getting this country back on track. It's about securing our borders, strengthening our economy for every American, and ensuring freedom and opportunity for future generations.

If you're asking if *that's* what I'm saying, then you've got it. That's the priority."
" I want to make sure we get that for the record, because it took the President 14 days before he called the attack in Benghazi an act of terror. ","Get the transcript. Ms. Crowley: He did, in fact, sir. So let me call it an act of terror in the Rose Garden. He used the word --","Alright, now that's a point that gets right to the heart of the matter, doesn't it? When you've got an attack on American soil, on our people, our diplomatic presence overseas... well, you don't need a committee meeting to figure out what that is. That's an act of terror. Pure and simple.

To take 14 days... that's just too long. It sends the wrong message. It suggests a lack of clarity, or worse, an attempt to muddy the waters or spin the facts. When Americans are targeted and killed by militants with clear hostile intent, you call it what it is, right from the start. Our intelligence agencies, our military, our diplomats, and most importantly, the American people, they deserve that kind of straightforward leadership and honest assessment. No delays, no hedging. That's how you ensure we respond effectively and protect our interests."
" The administration indicated that this was a reaction to a video and was a spontaneous reaction. Ms. Crowley: They did. Governor Romney: It took them a long time to say this was a terrorist act by a terrorist group. And to suggest -- am I incorrect in that regard? On Sunday, your Secretary -- ",Candy? Governor,"Well, listen. When you have American citizens, serving their country, attacked and killed overseas, it is absolutely essential that the administration tells the American people the truth. Plain and simple. To suggest for a significant period of time that it was a 'spontaneous reaction' to some video, when it was clearly a coordinated terrorist act by terrorist organizations – that's a disservice. We need to be clear. We need to be strong. We need to name our enemies and confront them head-on. The American people deserve nothing less than the truth, and our enemies must know we mean business."
" -- excuse me, the Ambassador to the United Nations went on the Sunday television shows and spoke about how this was a spontaneous reaction. ","Candy, I’m happy to have a longer conversation about foreign policy. Ms. Crowley: Mr. President, let me -- I know you -- absolutely. But I want to move you on.","Well, look, the Ambassador has a job to do, and I respect that. But when we hear terms like 'spontaneous reaction,' my mind goes straight to the facts. We need to be absolutely clear about what happened here, and that means looking at all the intelligence, putting all the pieces together.

Americans expect the truth, and we're going to get to the bottom of it. America stands strong, and we don't just take things at face value."
" Yes, I’m not in favor of new pieces of legislation on guns and taking guns away or making certain guns illegal. We, of course, don't want to have automatic weapons, and that's already illegal in this country to have automatic weapons. What I believe is we have to do, as the President mentioned towards the end of his remarks there, which is to make enormous efforts to enforce the gun laws that we have and to change the culture of violence we have. And you ask how are we going to do that? And there are a number of things. He mentioned good schools. I totally agree. We were able to drive our schools to be number one in the nation in my state, and I believe if we do a better job in education, we’ll give people the hope and opportunity they deserve and perhaps less violence from that. But let me mention another thing, and that is parents. We need moms and dads helping raise kids. Wherever possible, the benefit of having two parents in the home -- and that's not always possible -- a lot of great single moms, single dads, but, gosh, to tell our kids that before they have babies, they ought to think about getting married to someone, that's a great idea, because if there’s a two-parent family, the prospect of living in poverty goes down dramatically. The opportunities that the child will be able to achieve increase dramatically. So we can make changes in the way our culture works to help bring people away from violence and give them opportunity and bring them in the American system. The greatest failure we’ve had with regards to gun violence in some respects is what is known as Fast and Furious, which was a program under this administration. And how it worked exactly I think we don't know precisely, but where thousands of automatic and AK-47-type weapons were given to people that ultimately gave them to drug lords that used those weapons against their own citizens and killed Americans with them. And this was a program of the government. For what purpose it was put in place, I can't imagine. But it’s one of the great tragedies related to violence in our society which has occurred during this administration, which I think the American people would like to understand fully. It’s been investigated to a degree, but the administration has carried out executive privilege to prevent all the information from coming out. I’d like to understand, who were the ones that did this, what the idea was behind it, why it led to the violence. Thousands of guns going to Mexico -- Property of 3 ",Candy. Governor,"Well, folks, that's what we call common sense, alright? And it's so true. We don't need to be taking guns away from law-abiding citizens. That's ridiculous! What we need to do, and I've said this many times, we need to enforce the laws we already have. We have good laws, some of them, but they're not being enforced by these weak people, believe me.

And the culture of violence, it's a disaster, it really is. Good schools? Absolutely. When I was president, we had the greatest economy in the history of the world, and that gives people hope, that gives them opportunity. Not like what we have now, where everything is going to hell.

And parents! This is so important. Nobody talks about it enough. We need strong families, moms and dads, raising their kids. It's not always possible, I understand that, but it's the best way. It builds strong communities. It builds strong people. And when you have that, you have less violence. It's basic, folks, it's really basic.

But let me tell you about Fast and Furious. What a disgrace! A total and complete disgrace. Thousands of automatic weapons, given to drug cartels, and they killed Americans with them! And it happened under an administration that was, frankly, a disaster in many ways. They used executive privilege to cover it up! Can you believe it? The American people deserve to know who was behind this, what the idea was. It was a total failure, a huge scandal, and the fake news media, they don't want to talk about it. They protect these people. But it was a catastrophe, an absolute catastrophe, and it shows you the kind of incompetence we've had in government for too long. We need strong leadership, folks, and we need to get to the bottom of these things. It's sad! Very sad."
" -- drug lords -- Ms. Crowley: Governor, if I could, the question was about these assault weapons that once were banned and are no longer banned. I know that you signed an assault weapons ban when you were in Massachusetts. Obviously with this question, you no longer do support that. Why is that? Given the kind of violence that we see sometimes with these mass killings, why is that, that you’ve changed your mind? Governor Romney: Well, Candy, actually, in my state, the pro-gun folks and the anti-gun folks came together and put together a piece of legislation. And it’s referred to as an assault weapon ban, but it had, at the signing of the bill, both the pro-gun and the anti-gun people came together because it provided opportunities for both that both wanted. There were hunting opportunities, for instance, that hadn’t previously been available and so forth. So it was a mutually agreed upon piece of legislation. That’s what we need more of, Candy. What we have right now in Washington is a place that’s gridlocked. Ms. Crowley: So if you could get people to agree to it, you’d be for it? ",Candy. Governor,"Well now, Ms. Crowley, that's an important distinction, and Governor Romney hit on something vital there: the American spirit of compromise. We *ought* to be looking for ways folks can come together, absolutely. That's how this great nation was built.

But let's be real clear about what we're agreeing *on*. My first duty, and it's one I take very seriously, is to protect the God-given rights of every American, and that includes the Second Amendment. We can't be crafting laws just to make folks feel good if they ain't truly makin' our communities safer, or worse, if they're disarming law-abiding citizens.

What we *need* agreement on are solutions that actually work. That means tackling the mental health crisis head-on, securing our schools, and getting violent criminals off the streets. It means empowering our communities and families. Now, if we can get people to come together, across the aisle, in good faith, and agree on common-sense measures that truly address the root causes of violence, *while* upholding the Constitution and the rights of our good, honest citizens to protect themselves and their families... then you bet I'd be for it. That's the kind of leadership and sensible policy we should all be striving for in this country."
 We haven’t had the leadership in Washington to work at a bipartisan basis. I was able to do that in my state and bring these two together. ,Candy. Ms. Crowley: Mr. President.,"Well, I'll tell ya, that's a sentiment I've heard echoed quite a bit, and frankly, there's a good deal of truth to it. Getting folks to sit down, listen to one another, and find that common ground... that's the real work of leadership. And it's a whole different ballgame up here in Washington than it is sometimes back home in the statehouse.

Now, if you were able to do that in your state, bringing those two sides together, well, that's a real credit to you. That takes real listening, real respect for different points of view, and a willingness to put the big picture ahead of the partisan squabbles. We need more of that spirit, that willingness to roll up your sleeves and find solutions, not just point fingers. It's tough, always has been, but it's what the American people expect from their leaders, whether you're in a state capitol or the White House. You gotta keep trying."
" Boy, great question, an important question because you’re absolutely right. The place where we’ve seen manufacturing go has been China. China is now the largest manufacturer in the world -- used to be the United States of America. A lot of good people have lost jobs. A half a million manufacturing jobs have been lost in the last four years -- that’s total over the last four years. One of the reasons for that is that people think it’s more attractive in some cases to go offshore than to stay here. We have made it less attractive for enterprises to stay here than to go offshore from time to time. Property of 5 What I will do as President is make sure it's more attractive to come to America again. This is the way we're going to create jobs in this country. It's not by trickle-down government, saying we're going to take more money from people and hire more government workers, raise more taxes, put in place more regulations. Trickle-down government has never worked here, has never worked anywhere. I want to make America the most attractive place in the world for entrepreneurs, for small business, for big business to invest and grow in America. Now, we're going to have to make sure that as we trade with other nations that they play by the rules, and China hasn't. One of the reasons -- or one of the ways they don't play by the rules is artificially holding down the value of their currency. Because if they put their currency down low, that means their prices on their goods are low, and that makes them advantageous in the marketplace. We lose sales and manufacturers here in the U.S. making the same products can't compete. China has been a currency manipulator for years and years and years. And the President has a regular opportunity to label them as a currency manipulator, but refuses to do so. On day one, I will label China a currency manipulator, which will allow me as President to be able to put in place, if necessary, tariffs where I believe that they are taking unfair advantage of our manufacturers. So we're going to make sure the people we trade with around the world play by the rules. But let me not just stop there. Don't forget what's key to bringing back jobs here is not just finding someone else to punish -- and I'm going to be strict with people who we trade with to make sure they follow the law and play by the rules -- but it's also to make America the most attractive place in the world for businesses of all kinds. That's why I want to bring down the tax rates on small employers, big employers, so they want to be here. Canada's tax rate on companies is now 15 percent. Ours is 35 percent. So if you're starting a business, where would you rather start it? We have to be competitive if we're going to create more jobs here. Regulations have quadrupled -- the rate of regulations quadrupled under this President. I've talked to small businesses across the country. They say, we feel like we're under attack from our own government. I want to make sure that regulators see their job as encouraging small business, not crushing it. And there's no question but that Obamacare has been an extraordinary deterrent to enterprises of all kinds hiring people. My priority is making sure that we get more people hired. If we have more people hired, if we get back manufacturing jobs, if we get back all kinds of jobs into this country, then you're going to see rising incomes again. The reason incomes are down is because unemployment is so high. I know what it takes to get this to happen. And my plan will do that. And one part of it is to make sure that we keep China playing by the rules. Thank you. Ms. Crowley: Mr. President, two minutes here because we are then going to go to our last question. Property of 6 ","We need to create jobs here. And both Governor Romney and I agree actually that we should lower our corporate tax rate. It's too high. But there's a difference in terms of how we would do it. I want to close loopholes that allow companies to deduct expenses when they move to China that allow them to profit offshore and not have to get taxed, so they have tax advantages offshore. All those changes in our tax code would make a difference. Now, Governor Romney actually wants to expand those tax breaks. One of his big ideas when it comes to corporate tax reform would be to say if you invest overseas, you make profits overseas, you don't have to pay U.S. taxes. But of course, if you're a small business or a mom-and-pop business or a big business starting up here, you've got to pay even the reduced rate that Governor Romney is talking about. And it's estimated that that will create 800,000 new jobs -- the problem is they'll be in China or India or Germany. That's not the way we're going to create jobs here. The way we're going to create jobs here is not just to change our tax code, but also to double our exports. And we are on pace to double our exports, one of the commitments I made when I was President. That's creating tens of thousands of jobs all across the country. That's why we've kept on pushing trade deals, but trade deals that make sure that American workers and American businesses are getting a good deal. Now, Governor Romney talked about China, as I already indicated. In the private sector, Governor Romney's company invested in what were called ""pioneers of outsourcing."" That's not my phrase. It's what reporters called it. And as far as currency manipulation, the currency has actually gone up 11 percent since I’ve been President because we have pushed them hard. And we’ve put unprecedented trade pressure on China. That's why exports have significantly increased under my presidency. That's going to help to create jobs here. Ms. Crowley: Mr. President, we have a really short time for a quick discussion here. iPad, the Macs, the iPhones -- they are all manufactured in China. One of the major reasons is labor is so much cheaper here. How do you convince a great American company to bring that manufacturing back here? Governor","Well, now, you just laid out a mighty clear vision there, and a lot of good folks across America are gonna hear what you're saying. You're absolutely right, no question about it. We've seen too many good American jobs go overseas, and China, they've been playing by their own rules for far too long. That hurts our manufacturers, it hurts our workers, and it ultimately hurts our communities. We need a President who understands that and is willing to stand up for American interests, period.

And you're spot on when you talk about making America the best place in the world for businesses to grow and hire. We've got to cut these taxes, we've got to roll back these burdensome regulations that are just stifling our entrepreneurs, our small businesses, and our big job creators. That's how you create opportunity, not by growing government and piling on more mandates. ""Trickle-down government,"" as you called it, that just doesn't work. It never has.

We need to unleash the American spirit of innovation and enterprise. Get the government out of the way, let our people work, let our businesses thrive. That's how we'll get those good manufacturing jobs back, that's how we'll see incomes rising again. A strong economy, with more people working and more businesses investing, that starts right here at home, with American companies and American workers. That's the way we'll do it. You've hit on some very important points there, son. Very important."
" The answer is very straightforward: We can compete with anyone in the world as long as the playing field is level. China has been cheating over the years -- one, by holding down the value of their currency; number two, by stealing our intellectual property -- our designs, our patents, our technology. There’s even an Apple store in China that's a counterfeit Apple store selling counterfeit goods. They hack into our computers. We will have to have people play on a fair basis. That's number one. Number two, we have to make America the most attractive place for entrepreneurs, for people who want to expand a business. That's what brings jobs in. The President’s characterization of my tax plan is -- Property of 7 ","How much time you got, Candy? Governor","The President’s characterization of my tax plan is – frankly, it completely misses the point. My plan isn't about giving handouts to the wealthy; it's about putting more money back into the pockets of working families, it's about incentivizing businesses – small businesses, big businesses – to invest right here in America, to build new factories, to hire American workers. It's about unleashing the entrepreneurial spirit that made this country the envy of the world. We cut taxes, we streamline regulations, and suddenly, those jobs that went overseas? They start coming back home. That's how you level the playing field, folks, not just against China, but for every American trying to get ahead."
 -- is completely -- is completely -- Ms. Crowley: Let me go to the -- Governor Romney: -- is completely false. Let me tell you. Ms. Crowley: Let me go to the President here because we really are -- ,"All right, I’m -- Ms. Crowley: -- because we really are running out of time. And the question is, can we ever get -- we can't get wages like that. It can't be sustained here.","Well, folks, you see what's happening there, right? You just see it. They try to cut you off, they really do. When something is *completely false* – and believe me, often it is, *completely false* – you have to speak up! You can't let them just move on to the next guy, not when the truth is being, let's say, mismanaged. You just can't. You have to set the record straight, and you have to do it quickly. It's about honesty, it's about facts. It's really that simple. You gotta defend yourself against the fake narratives, believe me."
" Thank you, Bob. And thank you for agreeing to moderate this debate this evening. Thank you to Lynn University for welcoming us here. And, Mr. President, it’s good to be with you again. We were together at a humorous event a little earlier, and it’s nice to maybe be funny this time -- not on purpose. We'll see what happens. This is obviously an area of great concern to the entire world, and to America in particular, which is to see a complete change in the structure and the environment in the Middle East. With the Arab Spring came a great deal of hope that there would be a change towards more moderation, an opportunity for greater participation on the part of women in public life and in economic life in the Middle East. But instead we've seen in nation after nation a number of disturbing events. Of course, we see in Syria, 30,000 civilians having been killed by the military there. We see in Libya, an attack, apparently by -- I think we know now -- by terrorists of some kind against our people there, four people dead. Our hearts and minds go to them. Mali has been taken over -- the northern part of Mali by al Qaeda-type individuals. We have in Egypt a Muslim Brotherhood president. And so what we're seeing is a pretty dramatic reversal of the kind of hopes we had for that region. Of course, the greatest threat of all is Iran, four years closer to a nuclear weapon. And we're going to have to recognize that we have to do as the President has done -- I congratulate him on taking out Osama bin Laden and going after the leadership in al Qaeda. Property of But we can't kill our way out of this mess. We're going to have to put in place a very comprehensive and robust strategy to help the world of Islam and other parts of the world reject this radical, violent extremism, which is -- it’s certainly not on the run. It’s certainly not hiding. This is a group that is now involved in 10 or 12 countries. And it presents an enormous threat to our friends, to the world, to America long term, and we must have a comprehensive strategy to help reject this kind of extremism. Mr. Schieffer: Mr. President. ","Well, my first job as Commander-in-Chief, Bob, is to keep the American people safe. And that's what we've done over the last four years. We ended the war in Iraq, refocused our attention on those who actually killed us on 9/11. And as a consequence, al Qaeda’s core leadership has been decimated. In addition, we're now able to transition out of Afghanistan in a responsible way, making sure that Afghans take responsibility for their own security. And that allows us also to rebuild alliances and make friends around the world to combat future threats. Now, with respect to Libya, as I indicated in the last debate, when we received that phone call, I immediately made sure that, number one, we did everything we could to secure those Americans who were still in harm’s way; number two, that we would investigate exactly what happened; and number three, most importantly, that we would go after those who killed Americans and we would bring them to justice. And that’s exactly what we’re going to do. But I think it’s important to step back and think about what happened in Libya. Now, keep in mind that I and Americans took leadership in organizing an international coalition that made sure that we were able to -- without putting troops on the ground, at the cost of less than what we spent in two weeks in Iraq -- liberate a country that had been under the yoke of dictatorship for 40 years, got rid of a despot who had killed Americans. And, as a consequence, despite this tragedy, you had tens of thousands of Libyans, after the events in Benghazi, marching and saying, “America is our friend. We stand with them.” Now, that represents the opportunity we have to take advantage of. And, Governor Romney, I’m glad that you agree that we have been successful in going after al Qaeda, but I have to tell you that your strategy previously has been one that has been all over the map, and is not designed to keep Americans safe or to build on the opportunities that exist in the Middle East. Property of Governor","Thank you, Bob. And thank you, Governor, for that rather extensive list of challenges facing our nation and the world. It’s good to be with you again, and I appreciate the opportunity to discuss these critical matters with the American people.

Now, the Governor touched on a number of very serious issues, and he’s right, the Middle East is in a period of profound transition. It's a complex region, it always has been, and there are no easy answers. But what we have done, what my administration has done, is to pursue a clear, consistent, and strong strategy to protect American interests and promote our values.

First, on the issue of terrorism: The Governor mentioned Osama bin Laden, and I thank him for acknowledging that achievement. That was a direct result of relentless pressure, intelligence, and courageous action by our special forces. We have decimated Al Qaeda’s core leadership. They are on the run, and they are weaker than they have been in decades. Yes, new threats emerge, and we see radical elements attempting to exploit instability – whether it’s in Mali or elsewhere. But we are working with partners, sharing intelligence, and building capacity to counter these threats, without committing America to open-ended wars.

The situation in Syria is heartbreaking. And we have been clear: Assad must go. We are working with our allies, providing humanitarian aid, strengthening the moderate opposition, and putting economic pressure on the regime to bring about a political transition that respects the rights of all Syrians. This isn't just about military action; it's about diplomacy, economic pressure, and supporting those who seek a better future.

In Libya, let's be clear: the attack on our consulate in Benghazi was an act of terror, and we will bring those responsible to justice. But we acted decisively to support the Libyan people in overthrowing a dictator who threatened his own citizens. We are now working with the new Libyan government to secure their country and build democratic institutions, which is a difficult but vital task.

The Arab Spring did bring hope, and while the path to democracy is never smooth – just look at our own history – it is a path we must support. We are standing with those in Egypt, in Tunisia, who are working to build more inclusive and democratic societies. It's not about choosing a winner or loser, it's about supporting the process of self-determination.

And finally, Iran. The Governor said they are four years closer to a nuclear weapon. Let me be absolutely clear: Iran will not get a nuclear weapon on my watch. We have built an unprecedented international coalition, imposing the toughest sanctions in history on Iran, choking off their revenue, and making it harder for them to pursue their nuclear ambitions. We have kept every option on the table, and we will continue to ensure that Iran does not develop a nuclear weapon. This is a red line for the United States, and we are enforcing it.

So, when the Governor talks about a comprehensive and robust strategy, I want the American people to know that we are executing one. It's a strategy that leverages all elements of American power – our diplomacy, our economic strength, our intelligence, and yes, our military when necessary – to secure our nation, protect our allies, and promote stability and democracy in a vital part of the world. It’s a strategy built on American strength and American values, and it is working."
" Well, my strategy is pretty straightforward, which is to go after the bad guys, to make sure we do our very best to interrupt them, to kill them, to take them out of the picture. But my strategy is broader than that. That’s important, of course. But the key that we’re going to have to pursue is a pathway to get the Muslim world to be able to reject extremism on its own. We don’t want another Iraq. We don’t want another Afghanistan. That’s not the right course for us. The right course for us is to make sure that we go after the people who are leaders of these various anti-American groups and these jihadists, but also help the Muslim world. And how do we do that? A group of Arab scholars came together, organized by the U.N., to look at how we can help the world reject these terrorists. And the answer they came up with was this: One, more economic development. We should key our foreign aid, our direct foreign investment -- and that of our friends -- we should coordinate it to make sure that we push back and give them more economic development. Number two, better education. Number three, gender equality. Number four, the rule of law. We have to help these nations create civil societies. But what’s been happening over the last couple of years is as we’ve watched this tumult in the Middle East, this rising tide of chaos occur, you see al Qaeda rushing in. You see other jihadist groups rushing in. And they’re throughout many nations in the Middle East. It’s wonderful that Libya seems to be making some progress, despite this terrible tragedy. But next door, of course, we have Egypt -- Libya is 6 million population, Egypt 80 million population. We want to make sure that we’re seeing progress throughout the Middle East, with Mali now having North Mali taken over by al Qaeda; with Syria having Assad continuing to kill -- to murder his own people. This is a region in tumult. And of course, Iran on the path to a nuclear weapon -- we’ve got real problems in the region. Mr. Schieffer: Let’s give the President a chance. ","Governor Romney, I’m glad that you recognize that al Qaeda is a threat, because a few months ago, when you were asked what’s the biggest geopolitical threat facing America, you said Russia -- not al Qaeda -- you said Russia. And the 1980s are now calling to ask for their foreign policy back because the Cold War has been over for 20 years. But, Governor, when it comes to our foreign policy, you seem to want to import the foreign policies of the 1980s, just like the social policies of the 1950s, and the economic policies of the 1920s. Property of You say that you’re not interested in duplicating what happened in Iraq, but just a few weeks ago you said you think we should have more troops in Iraq right now. And the challenge we have -- I know you haven’t been in a position to actually execute foreign policy, but every time you’ve offered an opinion, you’ve been wrong. You said we should have gone into Iraq, despite the fact that there were no weapons of mass destruction. You said that we should still have troops in Iraq to this day. You indicated that we shouldn’t be passing nuclear treaties with Russia, despite the fact that 71 senators -- Democrats and Republicans -- voted for it. You’ve said that, first, we should not have a timeline in Afghanistan; then you said we should; now you say maybe, or it depends -- which means not only were you wrong, but you were also confusing and sending mixed messages both to our troops and our allies. So what we need to do with respect to the Middle East is strong, steady leadership, not wrong and reckless leadership that is all over the map. And unfortunately, that's the kinds of opinions that you’ve offered throughout this campaign, and it is not a recipe for American strength or keeping America safe over the long term. Mr. Schieffer: I’m going to add a couple of minutes here to give you a chance to respond. Governor","Well, look, that's a lot of talk, a lot of very fancy words, but when it comes down to it, my strategy, my strategy, is much simpler. We don't want another Iraq, we don't want another Afghanistan – and believe me, those were disasters, total disasters, mistakes from day one, nobody knows that better than me. We're getting out of these endless wars.

But when it comes to the bad guys, the radical Islamic terrorists, you know what we do? We kill them. We kill them fast, we kill them hard, and we don't have to be talking about 'gender equality' and 'economic development' with a bunch of scholars from the UN, which is, frankly, a total waste of money and time. These guys, they don't care about economic development. They want to kill us. And we have to be tougher.

We need strong leadership. Not this soft stuff. We go after the leaders, absolutely, but we have to do it with overwhelming force. We build up our military, the greatest military in the world, which I did, by the way. And then you hit them, and you hit them hard.

Mali, Syria, Iran with a nuclear weapon? That whole Iran deal, what a disaster, one of the worst deals ever made, and I fixed it, I pulled us out of it. We need to stop financing these countries that don't like us. We're sending them billions and billions, and for what? They turn around and hate us. We have to be smart. We have to be tough.

My strategy is simple: America First. We protect our people. We get rid of the terrorists. We don't spend decades and trillions of dollars trying to build democracies where they don't want them. They need to fix their own problems. We help when it's good for *us*, but we're not going to be nation-building anymore. It's a loser. We win. That's my strategy."
" Well, of course, I don't concur with what the President said about my own record and the things that I’ve said. They don't happen to be accurate. But I can say this -- that we’re talking about the Middle East and how to help the Middle East reject the kind of terrorism we’re seeing and the rising tide of tumult and confusion. And attacking me is not an agenda. Attacking me is not talking about how we’re going to deal with the challenges that exist in the Middle East and take advantage of the opportunity there and stem the tide of this violence. But I’ll respond to a couple of the things you mentioned. First of all, Russia I indicated is a geopolitical foe, not a -- ",Number one geopolitical -- Governor,"Well, listen, in this job, you get used to folks disagreeing with you, and sometimes they get things plain wrong. That's just part of the rough and tumble. But when you're talking about the Middle East, about the threat of radical terrorism, about the stability of the world, that ain't a game. That's serious business for the American people.

My administration, we understood that threat. We knew you had to stand strong, be clear-eyed, and lead with purpose. And when it comes to Russia, you gotta recognize what they are and deal with them from a position of strength, not weakness.

Attacking someone's record, that's one thing. But ignoring the challenges, or pretending they're not there, that's another. We need leadership that understands the stakes, that protects our freedoms, and that makes clear America stands for liberty around the globe. That's what we did."
" Excuse me. It’s a geopolitical foe, and I said in the same -- in the same paragraph I said, and Iran is the greatest national security threat we face. Russia does continue to battle us in the U.N. time and time again. Property of I have clear eyes on this. I’m not going to wear rose-colored glasses when it comes to Russia or Mr. Putin. And I’m certainly not going to say to him, I’ll give you more flexibility after the election. After the election, he’ll get more backbone. Number two, with regards to Iraq, you and I agreed, I believe, that there should have been a status of forces agreement. Did you -- ",That's not true. Governor,"Now look, let me be clear on this. When it comes to the safety and security of the American people, there's no room for doubt or wishful thinking. Iran, absolutely, is a serious threat. A regime that funds terror, that seeks nuclear weapons, that destabilizes the Middle East – we simply cannot stand by and let that happen. We have to confront it with strength, with our allies, and with a clear strategy.

And Russia? Yes, they've been a challenge. They've always looked for openings, whether it's in the U.N. or elsewhere, trying to undermine our interests. You've got to deal with Mr. Putin with your eyes wide open, plain and simple. No 'flexibility' after the election, no 'backbone' that suddenly appears down the road. America needs to be strong *now*, and consistently strong. Our friends need to trust us, and our adversaries need to understand our resolve. That's how you keep the peace and protect American interests around the globe.

As for Iraq, you're right, a Status of Forces Agreement is crucial. When we send our brave men and women into harm's way, we owe them a clear mission and the support they need to secure our interests and protect our gains. Leaving things ambiguous, that just invites more trouble, more instability. We've learned that lesson, and America has to lead with conviction and a steady hand."
" Oh, you didn't -- you didn't want a status of forces agreement? ","No, what I -- what I would not have done is left 10,000 troops in Iraq that would tie us down. That certainly would not help us in the Middle East. Governor","Well, look, let me tell you, when you're talking about a Status of Forces Agreement, a SOFA, you're talking about something incredibly complex and, frankly, incredibly vital for our brave men and women in uniform. These aren't just simple handshakes, folks. These are agreements that deal with the legal protections, the operational capabilities, and the overall safety of our American forces on foreign soil.

My job, our job, is to always ensure that our troops are protected, that they can do their job effectively, and that American sovereignty is respected, even when they're operating in another country.

Sometimes, despite your very best efforts – and believe me, we put in the effort, we negotiate hard – the conditions just aren't right. The other side, they might not see things the way we do when it comes to accountability or the legal framework. And you know what? If we can't get a deal that truly protects our soldiers, that respects their mission, and that upholds our national interest, then it's not a deal worth making. We don't sign just to sign. We don't compromise on the safety and dignity of our incredible military.

So, when a SOFA isn't in place, or isn't the *right* SOFA, it's usually because we've made a tough decision to prioritize America's interests and, most importantly, the well-being of our troops. Sometimes, walking away is the strongest hand you've got. And we're always going to put America first. Always."
 I’m sorry. You actually -- there was an effort on the part of the President -- ,You are -- Governor,"I’m sorry. You actually -- there was an effort on the part of the President -- and let me be very clear about this: that effort was entirely focused on securing our borders, strengthening our economy, and ensuring that the American people had the best opportunities possible. We worked hard, believe me. Hard work."
 -- to have a Status of Forces Agreement -- ,He was -- Governor,"...we need to have a Status of Forces Agreement, a *good* one, a *strong* one, to protect our incredible servicemen and women. They're the best in the world, folks, the absolute best, and they put their lives on the line for this country. So when they're overseas, we need to make sure they're protected, fully protected, and not subject to some crazy foreign jurisdiction. It's about American sovereignty, it's about our national interest, and it's frankly just plain common sense. We have to look after our own. Very, very important."
 And I concurred in that and said that we should have some number of troops that stayed on. That was something I concurred with -- ,Governor -- Governor,"Absolutely. You know, you *have* to concur with that. You can't just pull out and leave a vacuum, that's a disaster, a total disaster. We had to keep some of our great troops there, the best in the world, to make sure things were done right. To make sure we had leverage.

When you're dealing with these situations, you can't be weak. You send in our incredible people, they do their job, and then you need a presence. A strong presence. It's common sense, frankly. You just can't walk away from it all and expect everything to be perfect. We gotta protect our interests, and we gotta win."
" -- your posture. That was my posture as well. You thought it should have been 5,000 troops. ",Governor -- Governor,"You know, that's absolutely right. You've hit on something essential there, and it's a conversation I had countless times in the Situation Room. My posture, indeed. Because when you talk about numbers like 5,000 troops, you're not just talking about boots on the ground; you're talking about a clear signal. You're talking about a strategic commitment.

For me, that number, or similar numbers, always came down to achieving the mission. It's about protecting American interests, ensuring stability where we need it, and, above all, giving our men and women in uniform the resources and the strength they need to get the job done and come home safe. You have to be decisive, you have to be firm, and you have to make sure your actions match your words. And sometimes, 5,000, or whatever the number, is what's required to project that strength and purpose."
" I thought it should have been more troops. But you know what, the answer was -- ",This is just a few weeks ago. Property of Governor,"I thought it should have been more troops. But you know what, the answer was—the answer was to make the tough call, based on the intelligence we had, and then support our men and women in uniform, no matter what. You gotta lead. You gotta make decisions. And that's what I did. We had a mission, and we executed."
 -- we got no troops through whatsoever. ,This is just a few weeks ago that you indicated that we should still have troops in Iraq. Governor,"""No troops through? That's, frankly, totally unacceptable. A total failure. We spend trillions, *trillions* of dollars on our military, the greatest military in the world, and we can't get our people where they need to go? That's weak. Believe me, that wouldn't happen on my watch. We'd have those troops through, and it would be done, and it would be done strongly. Very, very strongly."""
" No, I didn't. I’m sorry, that's -- ",You made a major speech. Governor,"Whoa, whoa, hold on there, partner. No need to get all flustered. Sometimes things ain't always what they seem, right? Let's just clarify what exactly you're talkin' about. That's the important thing."
