,question,answer
561, Right here. ,There you are.
562," Thank you very much, Mr. President. I was wondering if you were struck by Raul Castro’s warm words for you today. He said he admired you; said he had read some of your autobiographies; described you as an honest man. I’m just curious what you thought about that. And do you feel that Raul Castro is an honest man and can be trusted? And I would be remiss if I didn’t ask you about another Secretary of State -- Hillary Clinton -- who is expected to announce her campaign for the presidency tomorrow. Do you foresee being involved in her campaign? And do you hope that she runs on your record? Thank you very much. ","It was a candid and fruitful conversation between me and Raul Castro. I can tell you that, in the conversations I’ve had so far with him -- two on the phone and, most recently, face-to-face -- that we are able to speak honestly about our differences and our concerns in ways that I think offer the possibility of moving the relationship between our two countries in a different and better direction. We have very different views of how society should be organized. And I was very direct with him that we are not going to stop talking about issues like democracy and human rights and freedom of assembly and freedom of the press -- not because we think we are perfect and that every country has to mimic us exactly, but because there are a set of universal principles for which we stand. And one of the goals of my administration is to have some consistency in speaking out on behalf of those who oftentimes don’t have a voice. And I think during his speech in the plenary session, he was pretty clear about areas of U.S. policy he doesn’t like, and I suspect he’s going to continue to speak out on those. What’s been clear from this entire summit, though, is the unanimity with which, regardless of their ideological predispositions, the leaders of Latin America think this is the right thing to do. Because what they see is the possibility of a more constructive dialogue that ultimately benefits the Cuban people, and removes what too often has been a distraction or an excuse from the hemisphere acting on important challenges that we face. So I am cautiously optimistic that over the coming months and coming years that the process that we’ve initiated, first announced in December, reaffirmed here at the Summit of the Americas, will lead to a different future for the Cuban people and a different relationship between the United States and Cuba. With respect to Hillary Clinton, I’ll make my comments very brief. She was a formidable candidate in 2008. She was a great supporter of mine in the general election. She was an outstanding Secretary of State. She is my friend. I think she would be an excellent President. And I’m not on the ballot. So I’m not going to step on her lines. When she makes a decision to announce, I’m confident that she will be very clear about her vision for the country moving forward, if she announces. And in terms of her relationship with my administration, she was focused and working on really important foreign policy initiatives. And the one thing I can say is that she’s going to be able to handle herself very well in any conversations or debates around foreign policy. And her track record with respect to domestic policy is I think one that cares about working families. If she decides to run and she makes an announcement, she’s going to have some strong messages to deliver. Jim Avila."
563," Thank you, Mr. President. First of all, on Cuba, if I could, two questions. The Cuban government has frequently said that it cannot allow more political or personal freedoms, or press freedoms, because the United States has used both covert and otherwise actions to try to overthrow the Castros. Does your new era, in fact, end regime-change efforts by the United States? And should the Cubans then respond by allowing free elections and tolerance of dissent now because of the changed policy? And secondly, on the issue of Hillary Clinton, Vice President Biden, of course, said that the Democratic race is wide open. The polls seem to say otherwise. What is your opinion on that? Is the race still wide open? ","Not only have I run my last election, but I am not in the business of prognosticating future elections. That is your job. (Laughter.) And there’s no shortage of people who are happy to opine on that. I will not be one of them. On Cuba, we are not in the business of regime change. We are in the business of making sure the Cuban people have freedom and the ability to participate and shape their own destiny and their own lives, and supporting civil society. And there’s going to be an evolution, regardless of what we do, inside of Cuba. Partly it's going to be generational. If you listened to President Castro’s comments earlier this morning, a lot of the points he made referenced actions that took place before I was born, and part of my message here is the Cold War is over. There’s still a whole lot of challenges that we face and a lot of issues around the world, and we're still going to have serious issues with Cuba on not just the Cuban government’s approach to its own people, but also regional issues and concerns. There are going to be areas where we cooperate as well. Cuban doctors deployed during the Ebola crisis made a difference; Cuban activity in Haiti in the wake of the earthquake made a difference. And so there may be areas of collaboration as well. What I said to President Castro is the same thing that I've said to leaders throughout the region. We have a point of view and we won't be shy about expressing it. But I'm confident that the way to lift up the values that we care about is through persuasion. And that's going to be the primary approach that we take on a whole host of these issues -- primarily because they don't implicate our national security in a direct way. And I think that we have to be very clear if Cuba is not a threat to the United States. That doesn’t mean we don't have differences with it. But on the list of threats that I'm concerned about, I think it's fair to say that between ISIL and Iran getting a nuclear weapon, and activities in Yemen and Libya, and Boko Haram, Russian aggression in Ukraine and the impact on our allies there -- I could go down a pretty long list -- climate change -- so I think our approach has to be one of trying to work with the region and other countries, and be very clear about what we believe and what we stand for, and what we think works and what doesn’t. And so often, when we insert ourselves in ways that go beyond persuasion, it's counterproductive. It backfires. That's been part of our history -- which is why countries keep on trying to use us as an excuse for their own governance failures. Let’s take away the excuse. And let’s be clear that we're prepared to partner and engage with everybody to try to lift up opportunity and prosperity and security for people in the region. Major Garrett."
564," Good afternoon, Mr. President. Allow me, if you will, to correct -- to quote the Supreme Leader directly. ",Yes.
565," The United States activity since the announcement of the framework has been deceptive, it is lying, it is devilish. And on two particular points, he said -- direct quotes -- “Iran’s military sites cannot be inspected under the excuse of nuclear supervision,” and “all sanctions should be removed when the deal is signed.” Is it your opinion, Mr. President, that this is pure posturing and it should be disregarded by your government and by you and your Secretary of State? And if so, could you help me understand to whom the Supreme Leader would be posturing? Because under my limited understanding of Iranian politics, that's not a job description usually applied to the Supreme Leader. ","That was a well-crafted question, Major. And let me just suggest that even a guy with the title “Supreme Leader” has to be concerned about his own constituencies. And the issue is not whether I have to take his word for whether that's his understanding -- because we've got work until the end of June to see if we've got a document that works. And if that is his understanding and his position, in ways that can't be squared with our concern about being able to embark on vigorous inspections to assure that Iran isn't cheating under any program, and that we don't have the capacity to snap back sanctions when we see a potential violation, then we're probably not going to get a deal. So part of the concern that I have in this debate here, Major, is I don't understand why it is that everybody is working so hard to anticipate failure. The opponents of the deal don't seem to be focused on how do we get to a good deal as much as they’re focused on how can we show that it's not possible to get a good deal. And my simple point is let’s wait and see what the deal is, and we'll be able to look. And if, in fact, we're not satisfied that it cuts off the pathways for Iran obtaining a nuclear weapon, then we won't sign it. If, on the other hand, it does, then I will strongly argue, and I believe the American people will support and the international community will support, that it’s far preferable to the other alternatives. Now, Major, it's not going to be perfect, in the sense that if you asked Prime Minister Netanyahu or some members of the Republican caucus, or even some Democrats. If you ask me, would I prefer that Iran never had, never did have, will never have even a single nut, bolt, anything related to nuclear power, don't have any nuclear scientists, don't have any capacity to develop it, that would be great. But that's not possible. That's not achievable. That's not achievable through sanctions; it's not achievable through military means. They’re going to have some form of peaceful nuclear power, and that will then pose a challenge for the international community, which is why the political agreement calls for unprecedented framework of inspections that allows us to assure that it’s not being used or diverted in ways that could be weaponized. But we’re going to have to see whether or not we can get a deal or not. My only question is why we keep on trying to short-circuit the actual negotiations. Nobody is -- we’re not disarming. We’re not getting rid of our nuclear weapons. We’re not getting rid of our Navy. We’re not giving anything up. We are simply waiting to see what it is that the negotiators come up with. And if, in fact, we are able to come up with something that works, then we’ll know. And with respect to the Supreme Leader, yes, it’s a pretty important title. It seems a little more clear-cut than President. On the other hand, there may be ways of structuring a final deal that satisfy their pride, their optics, their politics, but meet our core practical objectives. And that’s what we’ve got to give the negotiators room to determine. Last question. Karen DeYoung. Where’s Karen? There she is."
566, Hold on to your lily-white butts. ,"In our fast-changing world, traditions like the White House Correspondents' Dinner are important."
567," I mean, really, what is this dinner? And why am I required to come to it? Jeb Bush, do you really want to do this? ","Because despite our differences, we count on the press to shed light on the most important issues of the day."
568," And we can count on Fox News to terrify old white people with some nonsense!"" Sharia law is coming to Cleveland. Run for the damn hills! ""Y'all, it's ridiculous. ",We won't always see eye to eye.
569," Oh, and CNN, thank you so much for the wall-to-wall Ebola coverage. For two whole weeks, we were one step away from the Walking Dead. And then you all got up and just moved on to the next day. That was awesome. Oh, and by the way, just if you haven't noticed, you don't have Ebola! ",But I still deeply appreciate the work that you do.
570," Ya'll remember when I had that big, old hole in the bottom of the Gulf of Mexico and then I plugged it? Remember that? Which ""Obama's Katrina"" was that one? Was that 19? Or was it 20? Because I can't remember. ","Protecting our democracy is more important than ever. For example, the Supreme Court ruled that the donor who gave Ted Cruz 6 million dollars was just exercising free speech."
571," Yeah, that's the kind of speech like this, ""I just wasted six million dollars."" ","And it's not just Republicans. Hillary will have to rage [raise] huge sums of money, too."
572," Oh, yes. She's going to get that money. She's going to get all the money. Khaleesi is coming to Westeros. So watch out! ",The nonstop focus on billionaire donors creates real problems for our democracy.
573, And that's why we're running for a third term! ,"No, we're not."
574, We're not? ,No.
575, Who the hell said that? ,"But we do need to stay focused on some big challenges, like climate change."
576," Hey, listen, ya'll, if you haven't noticed, California is bone dry. It looks like a trailer for the new ""Mad Max"" movie up in there. Ya'll think that Bradley Cooper came here because he wants to talk to Chuck Todd? He needed a glass of water. Come on! ","The science is clear. Nine of the ten hottest years ever came in the last decade. Luther : Now, I'm not a scientist, but I do know how to count to 10."
577," We've got mosquitoes. Sweaty people on the train, stinking it up. It's just nasty. ","I mean, look at what's happening right now. Every serious scientist says we need to act. The Pentagon says it's a national security risk. Miami floods on a sunny day, and instead of doing anything about it, we've got elected officials throwing snowballs in the Senate!"
578," Okay, Mr. President. Okay, I think they've got it, bro. ","It is crazy! What about our kids? What kind of stupid, shortsighted, irresponsible bull --"
579, Wow! Hey! ,What?!
580," All due respect, sir. You don't need an anger translator. You need counseling. So I'm out of here, man. I ain't trying to get into all this. ",Go.
581," Hi, Mr. President. I am an elected representative from Malaysia. My question to you is, what is your view on the democracy in Malaysia with the recent jailing of Anwar Ibrahim, the opposition leader, and the crackdown on opposition? Thank you. ","Well, Malaysia has a history of democracy that has to be preserved. And I have a very good relationship with Prime Minister Najib and we are close partners and cooperating on a whole host of issues. I think that Malaysia, like all our countries, not just ASEAN countries but countries here in the United States, have to recognize that democracy is not just elections but it’s how open and transparent and accountable government is between elections. And it’s important that free speech, freedom of the press, an independent judiciary, the right to assemble peacefully -- that all those rights are observed to make democracy work. So as a general rule, I don’t comment on even individual cases in this country, much less another country, because I think it’s important for the legal system to work. But I do know that it is important if an opposition leader who is well known has been charged with a crime, that that process of how that is adjudicated and how open it is, and how clear the evidence is, that that is all subject to scrutiny. Because what you don’t want is a situation in which the legitimacy of the process is questioned. That has an adverse impact on democracy as a whole. And I think we all have to guard against making sure that there’s not a chilling effect on potential opposition in government. So as I always point out, democracy is hard. I mean, I think that many of the things that are said about me are terribly unfair. But the reason American democracy has survived for so long is because people -- even if they’re wrong -- have a right to say what they think. George Washington, our first President, he complained terribly about some of the foolishness that was said about him. But part of the reason he is considered one of our greatest Presidents is because he set an example of recognizing that if democracy was to work then you had to respect the rights of even those people who you disagreed most with, because otherwise there’s no way that a democracy can flourish over the long term. So these are things that I said publicly when I was in Myanmar -- when I was in Malaysia, rather. I had an opportunity to meet with some community activists and civil society leaders there. And this is something that I say everywhere we go. And it’s important for America to recognize that we’re not perfect, either, and so we have to make sure that we are constantly seeing how do we improve our democracy. I mean, the amounts of money, for example, that are involved in our elections these days is disturbing because it makes it seem as if a few people have more influence in the democracy than the many. And so I will continue to speak out about these issues, even with friends. Maybe sometimes we are even more willing to say something when it’s friends because we know that they can do better. Thank you. Yes, sir."
582," Hello, Mr. President. I am from Indonesia. I am working with the ministry of finance. My YSEALI theme is economic empowerment. My question is, what is your expectation about economic relationship between United States and ASEAN countries in the future? Thank you. ","Well, we already have a very strong economic relationship. As I pointed out, this is a region that is growing fast. It has a big population. You have very hardworking people, entrepreneurial people. I expect it will continue to grow. And the United States wants to be a partner in all sorts of ways. Trade is the most obvious and important relationship, economically. And so one of the reasons why I think the Trans-Pacific Partnership is so important is because it sets up a set of principles to ensure fair trade between countries. It calls for higher labor standards for all countries, higher environmental standards for all countries. It makes sure that countries are being treated -- companies are being treated fairly when they are operating in a foreign market. And there’s the potential, I think, if we get this right and completed in the next few months, to be able to ensure that the United States and ASEAN countries that already have a massive amount of trade, that that’s able to increase and that there’s more opportunity for everybody. But it’s at a high standard rather than a low standard. Part of the goal for ASEAN countries, most of them are now entering into a stage of development where they don’t want to just be sending raw materials to someplace else to have them developed, they want to be creating value starting their own businesses, making sure that they are part of the 21st century economy. And that requires upgrading skills, education for their populations. We think we can be helpful in those areas. And we want to encourage high educational levels in ASEAN countries because then it’s less likely that workers are exploited. And that means then that you’re competing with us because you have the best ideas and the best products, as opposed to just you have the cheapest labor. And if all that ASEAN countries are offering are cheap labor, then what happens is U.S. workers get hurt and you don’t necessarily see an improvement in standards of living for those ASEAN countries. If everybody is operating at a higher level then we’re all competing on an even playing field, and over time that will result in more growth and more development in ASEAN countries. But I think skills training is the most important thing. I think that the power of the Internet to access markets and ideas will be particularly important for ASEAN countries. Infrastructure is something that still needs to get done. I think there is still under-investment of infrastructure in that region. I know there was some controversy a while back because China wanted to start an Asia infrastructure bank; we haven’t yet signed on to participate. I want to be very clear -- we actually want China to invest in infrastructure in that region. We want to make sure that the investments are actually good for the people in those countries, which means transparency in terms of how decisions are made at this new bank. But we’ll continue with the Asian Development Bank and the World Bank and other institutions, and try to encourage not only investment in human capital, but also the infrastructure that’s needed. And finally, I think sustainability is going to be critical. I worry about the great forests of Indonesia and Malaysia. If those all just become palm oil plantations, and deforestation continues at the same pace it has, then the prospects of additional accelerated climate change are very powerful, not to mention the loss of species and biodiversity. The oceans, if you get overfishing, that’s a problem; pollution. Given how populated these areas are, it's very important that economic development ties in with sustainable development. Otherwise, I think we’ll all have problems. Okay. That’s good. So, young lady right here."
583, Mabuhay. ,Mabuhay.
584," Mabuhay, Mr. President. I'm a city council member of Davao City, the Philippines. There are a handful -- or a there are a few elected officials, some are YSEALI fellows. I really would like to know what is your word of advice for a young, budding political leader, young legislator, elected official like me in a developing democracy like the Philippines? Thank you. ","That's great. Well, I think -- my first advice is don't be shy, and obviously you're okay. I think you're doing to do great. I think that when I think about my own political career, when I look at other political careers that I admire, I think the most important thing is to have a sense of principle and why you're in public service. I think sometimes people want to be in public service just because they like seeing their name up in lights, they like being important. And that's a bad reason to go into politics; you should be like an actress or a singer, or make a lot of money. But if you're going into politics and public service, there’s only one good reason to do it, and that is because you want to help people. And you should know what it is that you stand for and what you believe in. It doesn't mean that you won’t have to compromise. It doesn't mean that you might not change your mind about an issue as you go forward and you learn more and you have more experience. But you should have something inside of you that says, these are the things that are really important to me that I will not compromise on, all right? So for me, throughout my political career, even before I was in politics and I was just working as a community organizer, I knew that I wanted to work to create more opportunity for all people; that my orientation was always how does this help the poor or the marginalized, or somebody who has less opportunity then me; how is this going to help them if they work hard to get ahead. I know that one of the important principles for me has always been treating everybody fairly. So whether that's women or people of different races or different religious faiths or different sexual orientations, that one of my core principles is that I will never engage in a politics in which I’m trying to divide people or make them less than me because they look different or have a different religion. That's a core principle. That's not something I would violate, right? So if you have a clear view of what you stand for, then as you move forward, you’ll have setbacks. There will be times where you didn't succeed. There will be times where you're frustrated. There will be times you might even lose an election sometimes. But at least you’ll know every morning when you wake up and you look at yourself in the mirror, I know who I am and why I’m doing what I’m doing. And I think those are the people who eventually end up having successful careers because people sense that integrity and that leadership. Even if they don't agree with you, at least they know you believe in something. And unfortunately, too many politicians, they're just climbing the ladder but they don't know why. And when they get there, then they're not very effective leaders. Or they become much more subject to the temptations of corruption because all they're worried about is I want to hang on to my power, and I’m willing to give up anything in You have to be willing to lose something for your principles. You have to be willing to lose an election because you think that there’s something that's more important than you just winning an election. And if you do that now -- but you have to -- you should try to win. I’m not saying you should try to lose. But you have to stand for something. That's my most important advice. Gentleman in the gray suit right there. Yes, you."
585," Thank you. I come from Vietnam. Like many others, I look forward to seeing you and the First Lady visiting my country, Vietnam, in the near future. I have a question. Mr. President, what do you expect the young people in the Southeast Asian countries doing in dealing with the current challenges to the peace, stability, respect to international law like the [inaudible], while promoting the cooperation between the 10 countries with others, including especially with the United States? Thank you. ","Especially with? I’m sorry, the last part?"
586, Especially with the United States. ,"Oh, with the United States. Well, look, I think that -- I’ve seen already significant progress with ASEAN countries over the last six years that I’ve been attending the ASEAN meetings and the East Asia Summit. And I think initially the meetings would oftentimes just be symbolic, and there would be a lot of pleasantries and a lot of meetings and cultural events. But we didn’t always have an agenda. And I think one of the things that you’ve started to see is people working much more concretely on what are we trying to accomplish here. How do we develop more capacity, for example, in the region around disaster relief so that if, heaven forbid, there’s another typhoon of the sort that we saw in the Philippines, or if, in fact, that we see some other natural tragedy that all the countries assets can be brought to bear, and we’ve done the training ahead of time to know who can help and how they can help? I think the -- trying to work on coming up with standards around maritime law is a big challenge. And obviously, there’s significant tension right now between many of the ASEAN countries and China, as well as the United States with China, around the South China Sea and how those issues are going to be resolved. ASEAN has been very constructive in trying to put together a code of conduct that all countries should abide by so that disputes around maritime boundaries are resolved through law and an impartial process, rather than just based on who’s the biggest. And that I think is going to be very important. ASEAN can play an important role in those areas. Environmental issues I’ve already mentioned. This is a very fast-growing region, and it is important to make sure that there’s a lot of cooperation between countries because small fisheries, et cetera -- those don’t always observe national boundaries. And so, working together, you can accomplish more. And then human rights issues, and democracy issues, reinforcing good habits among the countries is very important. I think it’s fair to say that the elections that will be taking place in Myanmar would not have happened if it hadn’t been for the good example that Indonesia set with its transition, and other ASEAN countries showing the path from military rule towards democracy, and how, through all the lessons that have been learned, that could be accomplished. And that I think created more space within Myanmar to -- and President Thein Sein to feel that this is possible. So part of the goal here is to make sure that each country is reinforcing the best habits and laws, and observing human rights, and being critical when one country slips but in a constructive way that allows for a path to improvement. And I think ASEAN can do that uniquely. And the United States will be a partner. We have, obviously, bilateral relationships with each of these countries, but we also want to be a partner with the group as a whole to encourage this cooperative model going forward. Okay. Young lady right there, yes."
587," Good afternoon, Mr. President. I’m from Indonesia. I work as a data analyst in the World Bank Indonesia Country Office. My YSEALI theme is civic engagement. My question to you: Now that your second term in the office is about to end, how do you want the world to remember you? Thank you. ","Fondly, I hope. I still have 20 months in office so I’ve got a lot of work still to do before I can start thinking about looking backwards. I’m still very much focused on what’s in front of me. But obviously there are things that I’ve been proud of. When I came into office, the United States and the world was going through a terrible economic crisis -- the worst, really, since the 1930s. And it was hard but we ended up avoiding a terrible depression. And within a year, the economy was growing again. Here in the United States now, we’re back to the pre- crisis employment levels. Our auto industry was saved. But also, internationally, we averted a much worse crisis because of, in part, the leadership the United States showed along with international institutions and central banks managing -- that was very important. That’s an important legacy for me. I think that the work that I’ve done to provide health insurance for people here in the United States and to provide more educational opportunity is consistent with the principles that I talked about, the reason I got into politics. Internationally, we’ve reinvigorated diplomacy in a whole variety of ways. People don’t remember -- when I came into office, the United States in world opinion ranked below China and just barely above Russia. And today, once again, the United States is the most respected country on Earth. And part of that, I think, is because of the work that we did to reengage the world and say that we want to work with you as partners with mutual interest and mutual respect. It’s on that basis that we were able to end two wars while still focusing on the very real threat of terrorism and to try to work with our partners on the ground in places like Iraq and Afghanistan. It’s the reason why we are moving in the direction of normalizing relations with Cuba. The nuclear deal that we’re trying to negotiate with Iran. Our efforts to help encourage democracy in Myanmar. 0 I think the people of Myanmar deserve the credit for this new opening. But my visit there didn’t hurt in trying to reinforce the possibilities of freedom for 40 million people. And so that direct engagement, the work that we’ve done to build and strengthen international organizations -- including on issues like public health and the fight against Ebola is just the most recent example of that -- I think we’ve been able to put our international relationships on a very strong footing that allows us then to work more cooperatively with other countries moving forward to meet the important challenges ahead. But I’ve still got a lot of work to do. So maybe in 18 months, I’ll check back with you and I’ll let you know. All right. Gentleman right here with the sash."
588," Hello, Mr. President Obama. I’m from Burma. And firstly, I would like to say hello on behalf of my family. And my question is, I work in tourism business in Burma, and my question is that -- what do you see critical areas in where the U.S. can contribute economic development in Burma? Thank you so much. ","Well, Burma, Myanmar, you know, it lost a lot of time over the last 40 years because of the very tight controls on the economy and the discouragement of entrepreneurship and new businesses. Part of the reason why I was so struck when I traveled to Myanmar was it reminded me of when I first arrived in Indonesia back in 1967 -- whereas when I go to Jakarta now, or Singapore or Bangkok, it looks completely different. This looked like the past. So there’s a lot of catching up to do. The good news is, though, countries that are still at those early stages of development, they can grow very fast because there’s so much pent-up energy and opportunity. And I think the most important thing is going to be establishing rule of law and systems and practices where if you start a business, you can feel confident that you don’t have to pay 100 bribes and you don’t have to hire somebody’s son, and that you can make a profit; that if there’s a foreign investor, that they can invest and be treated fairly, and that their rights and their intellectual property and their property are protected. Those basic systems of law where those are established, those countries can do well because the natural talents of the people and the incredible resources and hard work of the people then pay off. I mean, look at Singapore. Singapore is a tiny, little place. It has really nothing -- no resources to speak of. But today, when you travel to Singapore, it is as prosperous as any place in the world. Why is that? Well, part of it is that it’s set up a set of systems where if businesses were started or investors came in, they knew that they could find a very skilled workforce; they knew that the rules were international-standard rules in terms of operations. 1 So it will take some time for I think Myanmar to move in that direction. But you have your own models even in -- among the ASEAN countries. You don’t have to look to the United States; you can look at just your -- some of your neighbors to see what is required for success. And what the United States will try to do is to provide technical assistance, and we will also try to provide direct assistance, particularly around building skills and education. Because one of the keys is to make sure that you have a workforce that can add value. In the age of the Internet, when companies can locate anywhere, the most important thing is to find someplace where there is security -- so there’s no conflict -- where there’s rule of law, and the people are highly skilled. And if you have those three things, then people will invest. Yes, go ahead."
589," Good afternoon, Mr. President. I’m from Thailand. And now I work on the anti- human-trafficking issue in Thailand and neighboring country. So today, I would like to ask you if you were a Rohingya, which country would you prefer to live with and why? Thank you so much. ","That’s an interesting question. Let me speak more broadly, and then I’ll answer your question. We were talking earlier about what’s required for Myanmar to succeed. I think one of the most important things is to put an end to discrimination against people because of what they look like or what their faith is. And the Rohingya have been discriminated against significantly, and that’s part of the reason they’re fleeing. I think if I were a Rohingya, I would want to stay where I was born. I’d want to stay in the land where my parents had lived. But I’d want to make sure that my government was protecting me, and that people were treating me fairly. That’s what I’d want. And that’s why it’s so important I think, as part of the democratic transition, to take very seriously this issue of how the Rohingya are treated. One of the things about discriminating against people or treating people differently is, by definition, that means that people will treat you differently, and you never know when you will find yourself in a situation in which you are a minority, where you are vulnerable, where you’re not being treated fairly. And right now, obviously, our focus is on making sure that those who are being subject to human trafficking and are, in some cases right now, still in a very perilous situation out in the open sea, that they are relocated. I want to commend Indonesia and Malaysia for their willingness to take on thousands of these displaced persons. The United States, as part of our refugee process, will take some. We put over $100 million over the last several years in Burma to make sure that minority groups, including the Rohingya, are protected against. 2 But, ultimately, this is going to be a great test for the democracy of the future. Not just in Burma and Myanmar, but in areas all throughout the country. When I was -- and I know this directly because when I was young and I was living in Indonesia, there were times where there were anti-Chinese riots that were very violent and vicious. And, in fact, sometimes the Chinese Indonesians were treated very similarly to how Jewish Europeans were treated in Europe, and subject to stereotypes and resentments. And the truth of the matter is, one of the reasons that Singapore, I mentioned earlier, has been successful, is that it has been able to bring together people who may look different but they all think of themselves as part of Singapore. And that has to be a strength, not a weakness. But that requires leadership and government being true to those principles. To their credit, the Indonesian government when I was growing up was very good about not discriminating on the base of religion despite the fact that it was 98 percent Muslim. And I think that the tolerance towards other faiths historically in Indonesia has been part of what’s contributed to progress there. You haven’t seen the same kind of sectarian animosity that you’ve seen in parts of the Middle East. But the one thing I know is countries that divide themselves on racial or religious lines, they do not succeed. They do not succeed. That’s rule number one. Rule number two is nations that suppress their women do not succeed. They don’t succeed. Not only is it bad because half of the country is not successful -- because they’re not getting education and opportunity - - but it’s women who teach children, which means the children are less educated, if you’re not teaching the moms. So there are some -- each country is different, but there are some rules if you look at development patterns around the world that are pretty consistent. And those are two pretty good rules. Don’t divide yourself on religious and ethnic lines and racial lines. And don’t discriminate against women. If you do those two things, you’re not guaranteed success but at least you’re not guaranteed failure. I’ve got time for one more, two more. I definitely don’t have time for 30 more. Two more. I’ve got time for two more. It’s a gentleman’s turn."
590," Good afternoon, Mr. President. I’m from Malaysia. I work at Department of Irrigation and Drainage in Malaysia. My YSEALI theme is environmental sustainability. And my question for you is, what have you learned about leadership and life as being President in comparison to what you have might not learned if you were not a President? ","As President you -- I think probably what makes this job unique is that you are the ultimate decision-maker. So there are other people who work as hard as I do. My staff works very, very hard. They're just as smart or smarter than I am. They care just as much or more than I do. They have wonderful qualities. 3 But the one thing as President is that ultimately there’s nobody you can pass it on to. Harry Truman, one of our best Presidents, once said, the buck stops here. He meant at his desk. And it’s true. And usually by the time a decision comes to my desk, you know that it’s a very hard problem because if it was easy somebody else would have solved it. And so probably the thing that I uniquely have had to learn in the presidency that is -- I hadn’t learned as well in other jobs is the ability to look at all the information that you have, listen to all the advice that's there, and the different viewpoints that may exist about an issue, to try to make a decision based not on what is easiest, but what I think is the best long-term solution; and then feel comfortable in the knowledge that I may be wrong, and that there will be significant consequences if I am wrong, to have to have the courage then maybe six months later or a year later to admit this didn't work, and then to try something new. But being willing to take responsibility for making hard decisions, not be paralyzed because you know there are big consequences to them, and then being able to adapt based on the evidence as to whether it worked or not I think is the most important lesson I’ve learned. And that's not something that you have to -- is just unique to being President. I think in whatever your job is you should be willing to take responsibility for getting the best information, to listening to everybody, but then you have to just -- you have to make a decision and understand then that you have to continue to evaluate it. And I think that that's been very important. The second lesson, which is something that you just learn more of as President, but all of you have already learned in some ways in your work is to surround yourself with the best people. Your most important job is to create a team of people, some of whom have talents that you don't have, to make up for your weaknesses; and then to want to make them better, and make them successful. Because if they're successful, then the team is successful. So you're not a good leader if you don't want somebody who is smarter than you because you think, oh, well, maybe they’ll shine more than you do. Then you're not a very good leader because your team won’t succeed. So I’m always looking for -- who are people who are much smarter than me, or much more organized than I am, or much better analysts. And my job then is just to be able to weave them together so they're all working together effectively. And if you're doing that, then you're a good leader. And you should be constantly thinking how can I help this person do their jobs even better. And the good news is if you do that and people recognize that you care about them being successful, then they’ll work harder, and they’ll want to do even better. And they’ll appreciate you because they know that you're helping them, instead of trying to keep them subordinate to you. 4 Last question. And all the men should put down their hands because it’s a woman’s turn. No, all the guys have to put their hands down. This young lady in the yellow right here, right in the corner, right here."
591," Thank you, Mr. President. After your meetings here, you mentioned Greece in your opening statement. Do you believe that the Europeans are being too tough on Greece in these talks? And what else needs to be done on both sides to ensure there’s a deal and to ensure that there isn’t the undue harm to financial markets that you’ve warned about? And on a separate and somewhat related topic, the French told reporters today that you said to G7 leaders that you’re concerned that the dollar is too strong. What did you say exactly? And are you concerned that the dollar is too strong? ","First of all, don’t believe unnamed quotes. I did not say that. And I make a practice of not commenting on the daily fluctuations of the dollar or any other currency. With respect to Greece, I think that not only our G7 partners but the IMF and other institutions that were represented here feel a sense of urgency in finding a path to resolve the situation there. And what it’s going to require is Greece being serious about making some important reforms not only to satisfy creditors, but, more importantly, to create a platform whereby the Greek economy can start growing again and prosper. And so the Greeks are going to have to follow through and make some tough political choices that will be good for the long term. I also think it’s going to be important for the international community and the international financial agencies to recognize the extraordinary challenges that Greeks face. And if both sides are showing a sufficient flexibility, then I think we can get this problem resolved. But it will require some tough decisions for all involved, and we will continue to consult with all the parties involved to try to encourage that kind of outcome."
592, Are you confident it will happen before the deadline? ,I think that everybody wants to make it happen and they’re working hard to get it done. Nedra.
